Phase	X	Y	Bands	Error	Euler1	Euler2	Euler3	MAD	BC	BS
0	0	0	0	3	0	0	0	0	27	14
0	2	0	0	3	0	0	0	0	28	15
0	4	0	0	3	0	0	0	0	35	17
0	6	0	0	3	0	0	0	0	46	19
0	8	0	0	3	0	0	0	0	53	18
1	10	0	7	0	26.678	45.173	17.999	1.1421	71	23
1	12	0	9	0	26.52	45.983	17.989	0.2978	98	33
1	14	0	6	0	26.52	45.983	17.989	0.48	89	30
1	16	0	8	0	26.748	45.869	17.989	0.1945	105	39
1	18	0	9	0	26.771	45.856	17.976	0.2469	122	55
1	20	0	9	0	26.771	45.856	17.976	0.2877	122	59
1	22	0	9	0	26.775	45.847	17.982	0.1875	123	60
1	24	0	10	0	26.836	45.742	17.997	0.2987	120	60
1	26	0	9	0	26.836	45.742	17.997	0.2679	127	58
1	28	0	10	0	26.68	45.748	18.138	0.2305	131	64
1	30	0	9	0	26.68	45.748	18.138	0.1871	127	61
1	32	0	8	0	26.674	45.79	18.248	0.2006	124	61
1	34	0	8	0	26.673	45.793	18.251	0.1649	126	62
1	36	0	9	0	26.673	45.793	18.251	0.2423	131	64
1	38	0	8	0	26.683	45.788	18.243	0.1976	126	64
1	40	0	9	0	26.704	45.596	18.152	0.2438	121	63
1	42	0	9	0	26.694	45.569	18.177	0.3148	126	62
1	44	0	10	0	26.688	45.563	18.189	0.3459	106	41
0	46	0	0	3	0	0	0	0	31	15
1	48	0	6	0	29.628	42.663	15.538	0.918	37	16
0	50	0	0	3	0	0	0	0	40	17
0	52	0	6	0	0	0	120.59	0.7675	30	16
0	54	0	0	3	0	0	0	0	16	14
1	56	0	7	0	3.4453	23.953	13.265	1.1506	61	21
1	58	0	6	0	3.7725	23.999	13.086	1.0108	79	23
0	60	0	0	3	0	0	0	0	46	17
0	62	0	6	0	0	0	262.37	1.3626	33	16
0	64	0	0	3	0	0	0	0	20	14
0	66	0	0	3	0	0	0	0	33	16
0	68	0	0	3	0	0	0	0	37	15
0	70	0	7	0	0	0	75.648	1.5217	23	14
0	72	0	0	3	0	0	0	0	24	15
0	74	0	0	3	0	0	0	0	53	16
0	76	0	0	3	0	0	0	0	25	13
0	78	0	0	3	0	0	0	0	23	17
0	80	0	6	0	0	0	159.81	1.4151	19	15
0	82	0	6	0	0	0	326.19	1.5667	22	13
0	84	0	0	3	0	0	0	0	17	14
0	86	0	0	3	0	0	0	0	25	13
0	88	0	0	3	0	0	0	0	20	15
0	90	0	0	3	0	0	0	0	34	15
0	92	0	0	3	0	0	0	0	46	15
0	94	0	0	0	0	0	0	0	47	17
0	96	0	0	0	0	0	0	0	39	16
0	98	0	0	0	0	0	0	0	81	24
0	100	0	0	0	0	0	0	0	103	32
0	102	0	0	0	0	0	0	0	102	35
0	104	0	0	0	0	0	0	0	110	46
0	106	0	0	0	0	0	0	0	118	46
0	108	0	0	0	0	0	0	0	117	48
0	110	0	0	0	0	0	0	0	121	47
0	112	0	0	0	0	0	0	0	107	36
0	114	0	0	3	0	0	0	0	49	18
0	116	0	0	3	0	0	0	0	32	11
0	118	0	6	0	0	0	0.7899	1.7213	21	14
0	120	0	6	0	0	0	233.67	1.4108	23	14
0	122	0	0	3	0	0	0	0	31	15
0	124	0	0	3	0	0	0	0	39	16
0	126	0	0	3	0	0	0	0	24	14
0	128	0	0	3	0	0	0	0	39	15
0	130	0	0	3	0	0	0	0	32	14
0	132	0	0	3	0	0	0	0	45	15
0	134	0	0	3	0	0	0	0	42	18
1	136	0	9	0	18.682	59.713	6.0918	0.323	100	30
1	138	0	9	0	18.678	59.727	6.0994	0.2633	142	56
1	140	0	9	0	18.829	59.931	6.061	0.2974	144	58
1	142	0	9	0	18.829	59.931	6.061	0.3093	139	61
1	144	0	9	0	18.701	59.938	6.1522	0.2717	139	61
1	146	0	9	0	18.701	59.938	6.1522	0.264	135	58
1	148	0	9	0	18.636	59.975	6.1364	0.2735	142	61
1	150	0	9	0	18.636	59.975	6.1364	0.2507	144	62
1	152	0	9	0	18.714	59.945	6.165	0.3133	144	61
1	154	0	9	0	18.712	59.941	6.1805	0.256	140	60
1	156	0	9	0	18.712	59.941	6.1805	0.2682	140	60
1	158	0	9	0	18.726	60.001	6.177	0.2074	142	61
1	160	0	9	0	18.723	59.999	6.1818	0.2753	143	61
1	162	0	9	0	18.723	59.999	6.1818	0.1935	139	61
1	164	0	9	0	18.745	60.014	6.1309	0.2783	142	61
1	166	0	9	0	18.745	60.014	6.1309	0.2205	138	63
1	168	0	9	0	18.771	60.009	6.1042	0.173	141	62
1	170	0	9	0	18.771	60.009	6.1042	0.2303	140	63
1	172	0	9	0	18.882	60.01	6.0815	0.1973	139	62
1	174	0	9	0	18.882	60.01	6.0815	0.2491	134	59
1	176	0	9	0	19.014	60.03	6.0561	0.2781	140	63
1	178	0	9	0	19.014	60.03	6.0561	0.2167	139	60
1	180	0	9	0	19.106	60.064	5.972	0.2891	140	62
1	182	0	9	0	19.106	60.064	5.972	0.2199	141	62
1	184	0	10	0	19.109	60.047	5.9868	0.3108	143	61
1	186	0	9	0	19.133	59.889	6.0066	0.3715	145	61
1	188	0	9	0	19.133	59.889	6.0066	0.2786	144	59
1	190	0	7	0	19.078	59.886	6.0453	0.3504	138	47
1	192	0	8	0	19.197	59.816	6.3368	0.5695	126	41
1	194	0	8	0	19.197	59.817	6.3821	0.4752	93	28
0	196	0	0	3	0	0	0	0	81	24
1	198	0	8	0	1.5883	131.96	162.72	0.7389	111	31
0	200	0	0	3	0	0	0	0	85	24
1	202	0	8	0	178.81	44.44	16.655	1.2022	101	25
1	204	0	7	0	177.69	43.67	18.098	0.6172	44	16
0	206	0	0	3	0	0	0	0	45	16
1	208	0	9	0	177.67	43.33	18.202	0.4092	119	33
1	210	0	10	0	177.67	43.337	18.203	0.2702	151	52
1	212	0	9	0	177.68	43.267	18.021	0.3439	153	52
1	214	0	10	0	177.68	43.267	18.021	0.2865	160	60
1	216	0	10	0	177.66	43.274	18.024	0.2661	157	64
1	218	0	10	0	177.73	43.282	17.955	0.2815	161	66
1	220	0	10	0	177.73	43.282	17.955	0.2672	161	66
1	222	0	10	0	177.34	43.405	18.155	0.2583	159	66
1	224	0	10	0	177.34	43.405	18.155	0.3188	160	63
1	226	0	10	0	177.02	43.525	18.354	0.3566	154	61
1	228	0	10	0	177.02	43.525	18.354	0.459	161	62
1	230	0	10	0	176.98	43.56	18.411	0.5252	149	58
1	232	0	8	0	176.81	43.703	18.613	0.3963	130	40
1	234	0	7	0	176.51	44.001	18.969	0.7649	91	27
1	236	0	8	0	175.48	44.85	19.386	1.367	98	31
1	238	0	8	0	175.48	44.85	19.386	0.6435	117	37
1	240	0	10	0	174.24	44.854	19.827	0.8471	113	36
1	242	0	9	0	174.16	44.813	19.814	1.1121	115	34
0	244	0	0	3	0	0	0	0	83	22
1	246	0	6	0	171.38	44.135	22.54	0.6521	103	27
1	248	0	9	0	171.5	44.128	22.488	0.6775	125	40
1	250	0	9	0	174.25	44.602	19.983	0.5796	120	35
1	252	0	10	0	174.25	44.602	19.983	0.4643	159	59
1	254	0	10	0	173.91	44.316	19.974	0.4467	169	63
1	256	0	10	0	173.91	44.316	19.974	0.3834	154	61
1	258	0	10	0	173.81	44.319	20.052	0.4051	133	41
1	260	0	8	0	170.86	45.334	22.596	0.7906	86	27
1	262	0	9	0	170.86	45.334	22.596	0.4848	137	46
1	264	0	10	0	169.76	45.182	23.215	0.3891	159	64
1	266	0	10	0	169.65	45.191	23.285	0.4199	163	64
1	268	0	10	0	169.65	45.191	23.285	0.3891	161	63
1	270	0	9	0	169.34	45.724	23.94	0.3992	145	42
0	272	0	0	3	0	0	0	0	78	23
0	274	0	0	0	0	0	0	0	102	28
0	276	0	0	0	0	0	0	0	108	37
0	278	0	0	0	0	0	0	0	111	36
0	280	0	0	0	0	0	0	0	126	49
0	282	0	0	0	0	0	0	0	132	53
